Date,Open,High,Low,Close,High_Low_Diff,Volume
20/10/2014,389.230988,390.084015,378.252014,382.845001,11.832001,16419000
21/10/2014,382.42099,392.645996,380.834015,386.475006,11.811981,14188900
22/10/2014,386.118011,388.575989,382.248993,383.15799,6.326996,11641300
23/10/2014,382.962006,385.048004,356.446991,358.416992,28.601013,26456900
24/10/2014,358.591003,364.345001,353.304993,358.345001,11.040008,15585700
25/10/2014,358.610992,359.860992,342.877014,347.270996,16.983978,18127500
26/10/2014,347.487,359.221008,343.931,354.70401,15.290008,11272500
27/10/2014,354.777008,358.631989,349.80899,352.989014,8.822999,13033000
28/10/2014,353.214996,359.984009,352.678986,357.618011,7.305023,7845880
29/10/2014,357.088989,357.833008,335.342987,335.591003,22.490021,18192700
30/10/2014,335.709015,350.912994,335.071991,345.304993,15.841003,30177900
31/10/2014,345.009003,348.045013,337.141998,338.321014,10.903015,12545400
1/11/2014,338.649994,340.528992,321.054993,325.748993,19.473999,16677200
2/11/2014,326.075012,329.049988,320.626007,325.891998,8.423981,8603620
3/11/2014,325.569,334.002014,325.480988,327.553986,8.521026,12948500
4/11/2014,327.161011,331.766998,325.076996,330.492004,6.690002,15655500
5/11/2014,330.683014,343.368988,330.683014,339.485992,12.685974,19817200
6/11/2014,339.458008,352.966003,338.424011,349.290009,14.541992,18797000
7/11/2014,349.817993,352.731995,341.776001,342.415009,10.955994,16834200
8/11/2014,342.153992,347.032013,342.153992,345.488007,4.878021,8535470
9/11/2014,345.376007,363.626007,344.255005,363.264008,19.371002,24205600
10/11/2014,362.265015,374.81601,357.561005,366.924011,17.255005,30450100
11/11/2014,365.856995,371.309998,363.734985,367.695007,7.575013,15838900
12/11/2014,367.984985,429.717987,367.984985,423.561005,61.733002,45783200
13/11/2014,427.27301,457.092987,401.122986,420.734985,55.970001,58945000
14/11/2014,418.416992,419.252014,384.789001,397.817993,34.463013,29589200
15/11/2014,399.649994,405.528015,371.007996,376.132996,34.520019,15727500
16/11/2014,374.730011,390.799011,374.60199,387.881989,16.197021,11905600
17/11/2014,388.348999,410.199005,377.502014,387.40799,32.696991,41518800
18/11/2014,387.785004,392.402008,371.117004,375.197998,21.285004,32222500
19/11/2014,373.895996,386.480988,373.895996,380.554993,12.584992,18931800
20/11/2014,380.307007,382.024994,356.781006,357.839996,25.243988,25233200
21/11/2014,357.878998,357.878998,344.112,350.847992,13.766998,29850100
22/11/2014,351.604004,364.841003,350.877991,352.920013,13.963012,15273000
23/11/2014,353.174988,370.845001,353.174988,367.572998,17.670013,15151600
24/11/2014,366.947998,387.209015,366.669006,376.901001,20.540009,30930100
25/11/2014,376.885986,394.700989,374.783997,375.347992,19.916992,25442200
26/11/2014,376.019012,377.697998,365.81601,368.369995,11.881988,18601700
27/11/2014,370.502014,373.992004,368.282013,369.670013,5.709991,8748030
28/11/2014,369.373993,382.838013,358.454987,376.446991,24.383026,22946500
29/11/2014,376.152008,387.601013,372.144989,375.490997,15.456024,15375600
30/11/2014,375.51001,382.527008,373.30899,378.046997,9.218018,9194440
1/12/2014,378.248993,383.661987,376.669006,379.244995,6.992981,11763000
2/12/2014,379.25,384.037994,377.863007,381.315002,6.174987,12364100
3/12/2014,381.721985,383.026001,374.346008,375.01001,8.679993,13340100
4/12/2014,375.717987,378.654999,367.759003,369.604004,10.895996,14529600
5/12/2014,369.441986,379.191986,365.756012,376.854004,13.435974,15181800
6/12/2014,376.756989,378.447998,370.945007,374.785004,7.502991,7009320
7/12/2014,374.835999,376.291992,373.274994,375.095001,3.016998,6491650
8/12/2014,374.964996,376.028992,361.885986,361.908997,14.143006,18898700
9/12/2014,361.894989,363.066986,344.950989,352.218994,18.115997,32915500
10/12/2014,352.204987,352.384003,346.36499,346.36499,6.019013,16427700
11/12/2014,344.339996,361.356995,338.763,350.506012,22.593995,32431300
12/12/2014,350.833008,352.983002,349.290985,352.541992,3.692017,16989800
13/12/2014,352.381012,352.381012,346.588013,347.376007,5.792999,11675900
14/12/2014,346.72699,353.31601,345.417999,351.631989,7.898011,12415200
15/12/2014,351.360992,351.815002,344.93399,345.345001,6.881012,17264200
16/12/2014,345.673004,345.859009,327.062012,327.062012,18.796997,30864900
17/12/2014,326.855011,333.95401,315.152008,319.776001,18.802002,37567900
18/12/2014,319.785004,323.709015,304.231995,311.395996,19.47702,39173000
19/12/2014,311.178986,318.53299,306.769012,317.842987,11.763978,23823100
20/12/2014,317.618988,330.325012,316.044006,329.955994,14.281006,20856700
21/12/2014,329.542999,329.628998,318.903015,320.842987,10.725983,15207600
22/12/2014,321.067993,334.117004,320.424988,331.885986,13.692016,22315100
23/12/2014,332.016998,336.286987,329.60199,334.571991,6.684997,16574200
24/12/2014,334.38501,334.740997,321.356995,322.533997,13.384002,15092300
25/12/2014,322.286011,322.670013,316.958008,319.007996,5.712005,9883640
26/12/2014,319.152008,331.424011,316.627014,327.924011,14.796997,16410500
27/12/2014,327.583008,328.911011,312.630005,315.863007,16.281006,15185200
28/12/2014,316.160004,320.028015,311.078003,317.239014,8.950012,11676600
29/12/2014,317.700989,320.266998,312.307007,312.670013,7.959991,12302500
30/12/2014,312.718994,314.80899,309.372986,310.737,5.436004,12528300
31/12/2014,310.914001,320.192993,310.210999,320.192993,9.981994,13942900
1/01/2015,320.434998,320.434998,314.002991,314.248993,6.432007,8036550
2/01/2015,314.07901,315.838989,313.565002,315.032013,2.273987,7860650
3/01/2015,314.846008,315.149994,281.082001,281.082001,34.067993,33054400
4/01/2015,281.145996,287.230011,257.612,264.195007,29.618011,55629100
5/01/2015,265.084015,278.341003,265.084015,274.473999,13.256988,43962800
6/01/2015,274.610992,287.553009,272.696014,286.188995,14.856995,23245700
7/01/2015,286.076996,298.753998,283.07901,294.337006,15.674988,24866800
8/01/2015,294.13501,294.13501,282.174988,283.348999,11.960022,19982500
9/01/2015,282.382996,291.114014,280.53299,290.40799,10.581024,18718600
10/01/2015,287.303009,288.127014,273.966003,274.79599,14.161011,15264300
11/01/2015,274.608002,279.638,265.039001,265.660004,14.598999,18200800
12/01/2015,266.145996,272.203003,265.200012,267.79599,7.002991,18880300
13/01/2015,267.394012,268.277008,219.906006,225.860992,48.371002,72843904
14/01/2015,223.893997,223.893997,171.509995,178.102997,52.384002,97638704
15/01/2015,176.897003,229.067001,176.897003,209.843994,52.169998,81773504
16/01/2015,209.070007,221.591003,199.770996,208.097,21.820007,38421000
17/01/2015,207.834,211.731003,194.875,199.259995,16.856003,23469700
18/01/2015,200.050003,218.695007,194.505997,210.339005,24.18901,30085100
19/01/2015,211.470993,216.727997,207.317993,214.860992,9.410004,18658300
20/01/2015,212.906998,215.240997,205.153,211.315002,10.087997,24051100
21/01/2015,211.378006,227.787994,211.212006,226.897003,16.575988,29924600
22/01/2015,227.322006,237.018997,226.434006,233.406006,10.584991,33544600
23/01/2015,233.516998,234.845001,225.195999,232.878998,9.649002,24621700
24/01/2015,232.699997,248.210007,230.022003,247.847,18.188004,24782500
25/01/2015,247.352005,255.074005,243.889999,253.718002,11.184006,33582700
